"Brightness change"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
-127	0.271117	0.0251798	0.259705	1	0.0268836	0.145941	
-117	0.288444	0.0238803	0.117736	1	0.00181498	0.0334598	
-107	0.108485	0.00956574	0.0449596	1	0.000836336	0.0052071	
-97	0.0903455	0.00648355	0.0414178	1	7.76144e-005	0.0254583	
-87	0.0833545	0.000760019	0.0447048	0.339094	0.00026916	0.00592314	
-77	0.0811506	0.00100884	0.0194205	5.67709e-013	1.14941e-005	0.00243096	
-67	0.0811236	4.46827e-005	0.0388301	4.48341e-013	6.25548e-006	8.36838e-005	
-57	0.0204698	1.22486e-006	0.00935657	1.96911e-013	5.07028e-006	1.61514e-005	
-47	0.0211885	9.1829e-007	0.00642063	7.3517e-013	2.87126e-006	1.03044e-005	
-37	0.00635133	2.18429e-006	0.000577581	6.74341e-013	3.55978e-006	3.73631e-006	
-27	4.53029e-006	2.00613e-006	2.6153e-005	1.16541e-013	2.84975e-006	2.32019e-007	
-17	1.80623e-005	2.91729e-012	1.39766e-005	3.72926e-013	2.98451e-006	1.21068e-006	
-7	1.07135e-006	9.57699e-013	1.76538e-006	8.38303e-013	4.58054e-006	5.02516e-007	
3	2.98588e-006	1.02871e-012	0.000219209	6.37771e-013	4.53554e-006	1.01213e-006	
13	0.000207578	1.49978e-006	0.00172346	1.51039e-013	1.52944e-006	1.41742e-006	
23	0.000215792	4.43306e-007	3.41298e-005	1.31107e-012	1.21695e-005	6.53453e-006	
33	0.000507238	2.51746e-006	0.00333089	5.67303e-013	5.63337e-006	3.23007e-006	
43	0.0133992	3.36342e-006	0.00148355	3.83091e-013	1.09062e-005	1.63139e-006	
53	0.000225237	7.28426e-007	0.000910145	3.49183e-013	1.25429e-005	7.02885e-006	
63	0.00583218	1.01174e-006	0.00181373	2.1098e-012	7.50613e-006	8.90765e-006	
73	0.000642546	2.16423e-006	0.00673638	5.85081e-013	2.56028e-005	8.35584e-006	
83	0.0261269	4.06449e-006	0.0542227	6.5301e-013	2.70127e-005	3.6032e-005	
93	0.0117097	1.55854e-006	0.0540604	2.24629e-006	1.98749e-005	0.000581422	
103	0.103812	5.62571e-006	0.127575	9.4556e-013	0.00010809	0.00167619	
113	0.0280209	0.000560189	0.0200618	3.10511e-013	0.000830116	0.00178815	
123	0.120559	0.00568678	0.206148	8.16138e-013	0.00395488	0.00509123	
"Gaussian blur"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
1	0.0151139	0.118589	0.00951946	1.16415e-012	0.0250397	0.0186855	
2	0.0278332	0.254999	0.0332179	2.07596e-012	0.0137122	0.0300684	
3	0.0381722	0.481976	0.0577335	2.92808e-013	0.116628	0.075489	
4	0.0340698	0.178764	0.0304412	0.71453	0.136063	0.0610498	
5	0.036369	0.0391734	0.0473794	0.705135	0.106813	0.217244	
6	0.104543	0.720438	0.0269227	0.436705	0.231271	0.0652638	
