"Brightness change"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
-127	54.0779	44.6569	0.219772	65.5981	53.3846	0.113565	
-117	53.6	39.1965	0.207135	60.7678	30.008	0.0978392	
-107	51.3128	35.3777	0.187173	55.5046	11.517	0.081303	
-97	44.4787	31.6272	0.166271	44.8035	7.05573	0.0775363	
-87	39.4391	23.9974	0.139519	36.3647	5.47823	0.0543888	
-77	34.1182	19.9525	0.117881	28.2395	1.85487	0.0295381	
-67	28.1172	14.2118	0.0984225	24.8694	1.34358	0.0112635	
-57	20.6007	11.8509	0.0763981	20.5511	1.13403	0.00410152	
-47	13.83	8.66127	0.0478579	15.4737	0.854707	0.00212105	
-37	5.81379	4.69116	0.0103988	7.85345	0.824885	0.00130911	
-27	0.305213	1.09205	0.00067808	3.33471	0.497213	0.000860366	
-17	0.0514047	0.0773892	0.000115333	2.05533	0.124432	0.000631342	
-7	0.0016538	0.00925926	7.95675e-006	1.28157	0.037289	0.000544948	
3	0.0273285	0.0805791	0.000291427	1.09465	0.0681962	0.000561952	
13	0.340514	0.34654	0.00288509	1.82195	0.131178	0.000741077	
23	0.435109	0.869789	0.00240273	2.7817	0.319421	0.00103905	
33	0.879725	1.74272	0.00752015	3.85865	0.60857	0.00154375	
43	2.14592	2.90118	0.0117457	4.95914	1.02314	0.00225583	
53	1.37131	4.47106	0.0140002	5.7706	1.36618	0.00330351	
63	3.22648	5.94603	0.020067	6.6934	1.78408	0.0044707	
73	5.01062	7.64898	0.0305016	8.02267	2.58718	0.00591637	
83	9.40398	9.61168	0.055154	11.8066	3.38684	0.0073845	
93	14.5105	11.4008	0.0762401	16.6415	3.83335	0.0137376	
103	20.6786	13.0007	0.0976345	20.6538	6.62759	0.021408	
113	25.868	17.0405	0.121144	23.5902	10.352	0.0338237	
123	32.6148	25.5086	0.150391	26.4464	20.9751	0.0464194	
"Gaussian blur"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
1	9.83754	34.6208	0.0333503	4.02023	69.4164	0.0707873	
2	13.9023	43.036	0.0491702	5.93091	81.7017	0.0991479	
3	17.5694	45.4211	0.0764873	8.635	90.3354	0.127754	
4	21.2973	47.5089	0.0948836	21.3235	88.049	0.14395	
5	25.3513	49.4282	0.107583	24.1454	96.3915	0.150738	
6	27.1272	49.7163	0.125041	25.9673	99.5818	0.157608	
7	28.6643	50.1471	0.141118	27.705	100.284	0.167073	
8	30.9532	50.6988	0.154133	30.9657	103.729	0.171137	
9	31.8108	51.75	0.162825	32.6395	101.991	0.172969	
"Rotation"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0	0	0	0	0	0	0	
10	27.7007	47.3765	0.081868	22.1541	48.6726	0.12162	
20	30.3146	45.7219	0.0980709	22.0541	47.7756	0.153117	
30	29.3696	48.8135	0.0961324	22.8765	47.1367	0.162478	
40	29.345	49.459	0.0993093	22.6472	48.1271	0.163671	
50	27.7814	50.1414	0.0949918	22.6324	51.0189	0.167129	
60	28.2254	48.3654	0.0926806	22.5065	48.4214	0.16554	
70	29.007	48.3082	0.0969071	22.9465	49.3545	0.15371	
80	27.2899	49.5476	0.0852385	22.5683	50.1288	0.122448	
90	15.8952	33.9128	0.0634897	10.0394	2.05831	0.0029893	
100	28.5659	50.2361	0.100471	21.5158	52.731	0.122818	
110	30.0813	51.1715	0.109404	22.5275	51.2125	0.150716	
120	29.3128	53.1456	0.0979713	22.7112	48.1653	0.161466	
130	28.5238	53.5709	0.0948255	22.794	49.8979	0.163044	
140	28.9397	53.5455	0.0895191	23.194	50.4435	0.166685	
150	30.1047	52.6758	0.0916068	23.4517	49.0525	0.167017	
160	30.2037	51.2726	0.0969406	22.3989	48.5347	0.154041	
170	27.6813	52.9675	0.0937924	22.8725	49.815	0.118831	
180	4.00555	37.2098	0.0366848	14.797	0.783868	0.00213027	
190	28.4886	52.346	0.0870976	22.3528	48.6685	0.122563	
200	30.7959	51.7684	0.102599	22.3142	47.3748	0.150946	
210	30.2433	53.3827	0.101967	22.0811	47.13	0.16205	
220	30.2983	53.0371	0.100205	21.836	48.7756	0.163517	
230	28.5941	52.0204	0.0984901	22.7128	51.5911	0.16569	
240	28.9214	50.6038	0.0944628	23.2407	48.6862	0.165796	
250	29.8619	49.2319	0.0971968	22.197	50.1683	0.153999	
260	26.6898	50.8007	0.087033	22.6386	50.6097	0.120544	
270	15.7434	33.629	0.059819	9.76952	2.25047	0.00287945	
280	27.9823	49.9253	0.0989676	22.3724	52.5055	0.120441	
290	30.418	47.9204	0.107695	23.0952	51.1081	0.149982	
300	28.3839	50.9709	0.0978779	22.768	48.4604	0.160385	
310	28.6156	50.4719	0.0862308	22.6786	49.9941	0.164015	
320	28.223	50.4949	0.0815733	23.4022	50.0103	0.166504	
330	29.4649	48.6215	0.0882727	22.548	49.4336	0.166895	
340	29.5108	46.2237	0.0930763	22.9548	48.5989	0.154166	
350	26.0828	48.7407	0.0884009	22.1648	50.5317	0.121312	
360	0	0	0	0	0	0	
"Scaling"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0.25	40.5978	71.4433	0.250859	67.2308	99.7645	0.114668	
0.35	41.8326	72.9435	0.223903	55.2828	104.384	0.129102	
0.45	55.3631	65.2958	0.195128	34.8897	88.7881	0.139092	
0.55	51.1087	67.6964	0.184532	27.6216	82.8273	0.12549	
0.65	47.438	70.3533	0.146522	28.4681	72.1511	0.121802	
0.75	39.5103	63.7885	0.162027	28.8797	74.5588	0.115355	
0.85	63.6847	62.3382	0.17192	22.5248	74.3948	0.124357	
0.95	32.6063	47.1509	0.096593	23.6062	68.4504	0.0867014	
1.05	32.6835	45.868	0.0920078	23.7678	63.7946	0.0839805	
1.15	60.3116	53.4186	0.157623	24.2006	75.2347	0.11816	
1.25	51.6255	65.2637	0.168948	22.6358	61.9257	0.113462	
1.35	37.8656	57.8168	0.15165	26.5206	71.9362	0.105836	
1.45	38.5845	59.725	0.142719	20.7126	77.3508	0.101145	
1.55	46.1125	65.1271	0.138528	26.3208	65.6774	0.107646	
1.65	60.2178	61.6526	0.143342	24.8125	65.4086	0.115078	
1.75	59.553	61.4511	0.167055	21.1633	77.6268	0.114624	
1.85	44.4907	60.228	0.181901	27.5348	76.5377	0.106904	
1.95	29.373	55.5228	0.184185	27.8902	66.1961	0.0880423	

