"Brightness change"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
-127	60.9562	67.2976	64.3454	11.2676	70.3772	49.0676	
-117	67.4419	70.5118	66.5281	17.0507	76.8546	58.1081	
-107	74.7554	74.4809	73.752	29.1304	80.6057	67.6393	
-97	81.1321	79.9199	77.2448	41.4343	82.8604	74.2683	
-87	86.7206	84.8837	81.9502	58.3026	86.8052	80.793	
-77	89.961	89.8852	87.5766	74.2574	89.8484	86.5481	
-67	93.161	94.0787	92.0221	83.1884	93.6441	91.2058	
-57	95.9825	97.135	94.6479	89.6465	94.6964	94.6864	
-47	99.031	99.1643	97.1645	94.9886	97.4564	97.2898	
-37	99.7054	99.8571	99.3131	99.5763	99.2917	99.4099	
-27	99.9445	100	100	99.7942	99.94	99.9825	
-17	100	100	100	99.7955	100	100	
-7	100	100	100	99.5876	100	100	
3	100	100	99.9467	99.7951	100	100	
13	100	100	99.8922	99.7947	100	99.9826	
23	100	100	99.9457	100	99.9701	99.9298	
33	99.9445	99.9449	98.832	100	99.8786	99.7868	
43	99.8317	99.9441	97.9966	99.3711	99.5062	99.6564	
53	99.7722	99.914	97.4765	99.5726	98.9517	99.3333	
63	99.7669	99.6434	97.2172	99.3274	97.3702	98.4291	
73	99.3958	99.1677	96.8274	98.5915	96.6457	96.845	
83	99.4946	98.5802	95.7026	97.7832	95.5481	95.3261	
93	98.0795	97.6215	93.9194	94.1799	93.8282	93.2802	
103	97.4341	95.9214	90.8517	91.1175	91.4234	90.5781	
113	96.5944	94.1851	88.5289	84.3373	89.4763	87.1455	
123	95.0043	92.0899	83.7487	79.868	86.3262	84.2367	
"Gaussian blur"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
1	99.5639	90.3103	99.0056	98.3529	76.7544	94.5815	
2	98.7448	82.7027	97.7575	94.7761	70.5803	90.3783	
3	97.5455	71.9953	93.3278	92.437	64.6594	82.099	
4	97.5525	66.7153	91.572	86.2069	61.1794	74.7284	
5	96.5909	63.0952	87.1882	78.1818	59.2814	65.812	
6	95.302	57.8431	84.4872	71.8954	57.2165	61.4177	
7	93.8172	51.9481	80.9077	65.283	58.3691	55.9821	
8	91.8429	48.6275	74.1593	53.9419	56.8528	52.6198	
9	88.5563	50	69.1511	47.6636	52.5886	48.8656	
"Rotation"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0	100	100	100	100	100	100	
10	96.947	81.9938	88.7561	93.8931	90.1107	73.7351	
20	94.9221	81.6725	86.3738	90.3485	88.7384	58.6252	
30	93.5369	79.802	84.7641	87.8788	88.8672	53.2331	
40	91.401	80.3408	83.3202	87.1866	88.7791	50.4023	
50	89.7048	76.6099	83.2105	86.3636	88.2306	48.5371	
60	88.9153	75.2463	82.5581	80.4035	88.5179	50.2907	
70	87.4697	77.4224	80.7759	83.0601	86.3578	53.007	
80	88.5287	73.8142	82.8111	82.8571	85.3625	66.5577	
90	92.2487	82.5758	92.1821	85.8696	96.4817	95.3671	
100	88.1647	71.6769	82.0557	77.8711	82.3906	65.191	
110	88.9621	72.1186	81.0991	79.2	83.6667	54.0299	
120	91.3806	72.7725	82.3336	80.9769	84.1663	49.1822	
130	91.2217	75.8356	81.1535	79.0404	85.2429	48.632	
140	92.4352	73.8963	81.4409	80.4511	86.0924	48.285	
150	93.7239	76.6781	83.4736	76.3636	87.4724	52.8965	
160	94.1767	78.4641	83.6854	79.4486	88.3285	58.905	
170	96.2033	79.2935	88.6505	73.6292	90.5983	73.6871	
180	99.4857	88.7044	98.9278	81.7967	99.06	98.0655	
190	96.2406	81.8872	88.4482	80.3571	90.0077	73.5544	
200	94.7655	79.4994	86.2146	80.5479	88.988	59.7015	
210	92.389	78.1736	84.4325	80.9917	89.4201	53.3987	
220	90.8148	78.1614	82.9384	78.2258	89.1732	50.1272	
230	89.9623	75.6334	82.3002	77.3109	88.9875	48.7477	
240	88.1196	74.5046	82.9003	74.928	88.5936	50.1081	
250	87.1383	75.4986	81.3092	80.5556	85.745	52.5677	
260	88.0498	72.0393	82.7493	81.25	85.3472	66.6776	
270	92.0875	82.7488	92.7524	86.1702	96.755	96.03	
280	87.4676	72.2193	82.0175	83.7466	82.9173	65.3185	
290	88.8426	73.031	81.6207	86.2534	83.7864	54.3178	
300	91.5189	74.1103	82.0132	89.3401	83.8936	49.4073	
310	91.1614	77.7133	80.6634	87.6607	85.1083	47.3825	
320	92.4078	77.8723	81.4873	92.0716	86.2302	48.2473	
330	92.5746	78.7956	83.3968	88.2507	87.5664	52.4543	
340	94.6738	82.2514	83.77	90.9548	87.8141	58.2146	
350	96.5451	82.6862	88.4088	93.2796	91.2534	73.2505	
360	100	100	100	100	100	100	
"Scaling"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0.25	81.25	50.2732	50.7463	13.0233	60.9467	65.8371	
0.35	80.3636	54.2484	59.7143	34.0807	62.234	61.9048	
0.45	84.3678	59.5238	68.2785	52.8	67.0185	62.3699	
0.55	85.2217	64.2433	69.9558	71.6981	74.1131	66.2784	
0.65	87.6338	66.9805	79.9766	79.7203	80.8793	69.9355	
0.75	92.9	75.6928	81.2375	85.5263	82.8074	75.4286	
0.85	84.981	78.0091	88.5163	89.008	85.3011	77.5951	
0.95	98.5849	85.3596	96.0509	93.4959	87.7362	89.2674	
1.05	97.3056	84.4358	95.3106	92.5641	84.9222	89.9265	
1.15	87.2311	81.5868	89.2903	85.5586	81.1172	78.0344	
1.25	85.4065	73.0785	84.5992	87.5354	80.762	75.2878	
1.35	90.2804	75.1484	82.0098	79.288	77.4849	73.1891	
1.45	89.2187	69.139	82.6203	81.2298	75.8788	72.1355	
1.55	84.8688	64.3382	80.6796	74.1611	76.6442	68.8093	
1.65	74.9141	67.2897	77.4563	67.0175	76.2593	64.3261	
1.75	77.1467	63.7034	71.3126	65.6357	74.54	61.8028	
1.85	85.0365	62.9112	64.0954	59.0747	74.9725	65.0742	
1.95	90.2053	63.4436	59.1691	49.2701	76.9316	69.2081	

