"Brightness change"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
-127	97.2868	84.0106	89.9749	42.6	94.5217	76.9507	
-117	96.0894	84.0273	90.0749	43.4	92.0136	75.4247	
-107	93.5897	81.3624	87.4648	46	91.1333	75.8297	
-97	91.5007	81.3402	88.0823	50.2	90.4982	76.3051	
-87	91.254	81.1321	87.7161	54.2	90.8447	78.3949	
-77	91.689	83.2047	87.5862	60.6	90.1823	80.5282	
-67	92.9457	86.6937	88.4696	69	90.6995	82.5126	
-57	93.6388	90.7866	89.5899	79.2	91.2982	86.1862	
-47	94.7368	94.5566	92.7528	87.8	92.7003	90.3656	
-37	97.5848	97.6011	97.6523	94.4	95.6281	94.9571	
-27	99.558	99.699	99.5726	97.2	98.3201	98.7366	
-17	100	100	100	97.8	99.8523	99.9307	
-7	100	100	100	97	100	100	
3	100	100	99.8405	97.6	100	99.9307	
13	99.6707	99.9454	98.8812	97.4	99.8816	99.5667	
23	99.4499	99.7271	98.1876	97.8	99.3754	99.0097	
33	99.2291	99.37	96.6147	96	98.3289	98.0836	
43	98.5083	98.8401	94.8426	95.4	96.3426	96.9495	
53	98.541	98.0602	95.4622	93.6	94.5913	95.2885	
63	97.7778	97.142	95.4939	89.2	93.4661	92.7505	
73	96.8403	96.1185	95.0543	85.2	91.6133	89.991	
83	95.9976	94.8867	92.8436	81.2	89.6679	86.749	
93	95.6301	92.8914	91.4267	75.6	86.4667	85.4252	
103	93.2226	91.1765	90.3134	69.8	86.8226	82.7734	
113	92.9496	88.9294	89.2188	66.4	86.1605	81.4903	
123	90.9162	87.016	87.5218	60.6	84.2665	80.0047	
"Gaussian blur"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
1	97.0962	90.2703	94.7028	85	71.7985	89.28	
2	96.371	92.2365	93.329	80.4	78.6624	86.2539	
3	95.6818	96.2921	91.5535	71.4	87.554	83.2797	
4	95.1747	97.0255	91.0345	69.6	90.4444	80.5249	
5	95.3695	98.6301	89.9083	66	93.0362	81.0312	
6	95.8199	99.0291	91.6569	70.1835	92.823	80.8753	
7	95.8763	98.7179	91.9424	71.2366	96.8815	82.786	
8	96.361	99.6094	93.543	76.7516	96.8059	81.7625	
9	96.5986	100	93.6047	78.9668	96.8338	84.451	
"Rotation"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0	100	100	100	100	100	100	
10	83.8996	69.1979	72.7133	78.6	74.3823	60.4987	
20	80.4905	67.7163	71.7031	74.6	73.7233	62.785	
30	80.2279	65.4484	70.0054	72.6	74.0527	62.2227	
40	80.7301	68.0045	70.3951	71.8	73.5542	63.8636	
50	80.9436	66.8983	68.4417	70.4	73.8835	62.3772	
60	79.3342	68.1354	66.3361	69.4	75.8025	59.4641	
70	76.8323	73.1338	71.2531	73.2	77.2878	63.3444	
80	78.5761	74.6038	76.6644	70	78.154	58.0455	
90	86.1335	81.5129	81.3986	73.6	93.3081	83.5068	
100	79.7538	74.5143	76.0265	71.4	78.9821	56.5173	
110	79.1395	73.6008	73.1425	75	77.0077	67.3198	
120	83.8772	69.2019	73.0492	77.8	77.4882	63.8417	
130	85.3308	71.2585	76.0816	79.2	77.6512	65.2338	
140	86.1042	68.9014	76.6047	79.8	76.3618	63.9585	
150	85.408	69.2904	74.3882	77	77.877	59.9653	
160	83.557	72.6281	74.8637	79.8	75.3455	62.4239	
170	85.1507	70.5125	74.5229	76.6	74.5871	61.1883	
180	96.1538	76.9936	93.5092	84.6	91.9523	90.6109	
190	82.823	67.467	72.7595	78.4	73.8136	60.318	
200	80.1635	66.9237	71.383	73	73.2462	62.5152	
210	80.4878	64.5519	69.7326	72.6	74.4675	62.5192	
220	80.405	66.9824	70.3333	74.4	73.9017	64.3961	
230	81.6389	66.1453	68.8764	71.4	73.4954	62.4562	
240	79.5369	67.4488	65.2269	69.4	75.6807	59.4641	
250	76.7901	74.9466	70.3636	72	77.5551	63.4662	
260	78.604	75.0369	76.5475	70.4	78.6525	57.9418	
270	86.9693	83.5313	81.1057	75.2	92.7119	84.0965	
280	79.2466	76.0724	75.647	72.6	79.0941	56.3193	
290	78.651	73.9499	72.5895	74.2	77.0956	67.009	
300	83.141	69.1267	72.5748	78.8	77.6087	63.0881	
310	85.1898	73.0029	76.6749	77.8	77.6862	65.7373	
320	85.4759	68.5131	75.3278	78.2	75.9863	63.7894	
330	85.5701	69.7221	74.9002	76.6	77.3178	60.2547	
340	84.0045	71.6726	74.4312	79.6	75.3312	62.1973	
350	85.7378	71.3599	75.2322	74.4	73.9319	61.0323	
360	100	100	100	100	100	100	
"Scaling"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0.25	100	96.3158	99.0148	56.1358	99.1202	96.087	
0.35	98.5663	90.0883	95.3679	47.8541	94.6309	93.662	
0.45	97.5336	87.8389	87.3311	50	94.5137	90.9687	
0.55	94.7123	82.598	86.0583	53	91.2511	86.4987	
0.65	93.3407	78.1649	86.002	57.2	87.6453	83.1228	
0.75	89.9281	81.5827	81.3972	60.8	84.2733	78.8525	
0.85	76.5091	78.6028	81.8806	74.6	81.3344	77.9397	
0.95	91.6049	78.4419	90.1086	73.8	77.3052	81.4691	
1.05	86.6773	78.1683	85.5208	78	68.5347	75.6636	
1.15	65.6193	74.4708	70.4866	73.4	58.4906	63.5938	
1.25	58.1179	66.6759	57.899	70.6	52.4639	55.695	
1.35	58.6623	68.7865	51.9154	61.8	49.1852	50.7087	
1.45	54.3629	64.6816	49.7837	61.8	46.3914	45.2352	
1.55	49.1307	60.0294	46.9356	59.6	45.1037	42.2953	
1.65	39.3989	62.4238	42.8489	57	44.4518	38.9751	
1.75	36.9658	62.2907	39.6779	58.2	43.3219	36.1894	
1.85	38.5102	58.1818	36.4054	56.2	42.7518	34.1085	
1.95	37.6214	63.5066	33.2223	54.8	43.0745	32.8332	

