"Brightness change"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
-127	0.609562	0.672976	0.643454	0.112676	0.703772	0.490676	
-117	0.674419	0.705118	0.665281	0.170507	0.768546	0.581081	
-107	0.747554	0.744809	0.73752	0.291304	0.806057	0.676393	
-97	0.811321	0.799199	0.772448	0.414343	0.828604	0.742683	
-87	0.867206	0.848837	0.819502	0.583026	0.868052	0.80793	
-77	0.89961	0.898852	0.875766	0.742574	0.898484	0.865481	
-67	0.93161	0.940787	0.920221	0.831884	0.936441	0.912058	
-57	0.959825	0.97135	0.946479	0.896465	0.946964	0.946864	
-47	0.99031	0.991643	0.971645	0.949886	0.974564	0.972898	
-37	0.997054	0.998571	0.993131	0.995763	0.992917	0.994099	
-27	0.999445	1	1	0.997942	0.9994	0.999825	
-17	1	1	1	0.997955	1	1	
-7	1	1	1	0.995876	1	1	
3	1	1	0.999467	0.997951	1	1	
13	1	1	0.998922	0.997947	1	0.999826	
23	1	1	0.999457	1	0.999701	0.999298	
33	0.999445	0.999449	0.98832	1	0.998786	0.997869	
43	0.998317	0.999441	0.979966	0.993711	0.995062	0.996564	
53	0.997722	0.99914	0.974765	0.995726	0.989517	0.993333	
63	0.997669	0.996434	0.972172	0.993274	0.973702	0.984291	
73	0.993958	0.991677	0.968274	0.985915	0.966457	0.96845	
83	0.994946	0.985802	0.957026	0.977832	0.955481	0.953261	
93	0.980795	0.976215	0.939194	0.941799	0.938282	0.932802	
103	0.974341	0.959214	0.908517	0.911175	0.914234	0.905781	
113	0.965944	0.941851	0.885289	0.843373	0.894763	0.871455	
123	0.950043	0.920899	0.837488	0.79868	0.863262	0.842367	
"Gaussian blur"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
1	0.995639	0.903103	0.990056	0.983529	0.767544	0.945815	
2	0.987448	0.827027	0.977575	0.947761	0.705803	0.903783	
3	0.975455	0.719953	0.933278	0.92437	0.646594	0.82099	
4	0.975524	0.667153	0.91572	0.862069	0.611794	0.747284	
5	0.965909	0.630952	0.871882	0.781818	0.592814	0.65812	
6	0.95302	0.578431	0.844872	0.718954	0.572165	0.614177	
7	0.938172	0.519481	0.809077	0.65283	0.583691	0.559821	
8	0.918429	0.486275	0.741593	0.539419	0.568528	0.526198	
9	0.885563	0.5	0.691511	0.476636	0.525886	0.488656	
"Rotation"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0	1	1	1	1	1	1	
10	0.96947	0.819938	0.887562	0.938931	0.901107	0.737351	
20	0.949221	0.816725	0.863738	0.903485	0.887384	0.586252	
30	0.935369	0.79802	0.847641	0.878788	0.888672	0.532331	
40	0.91401	0.803408	0.833202	0.871866	0.887791	0.504023	
50	0.897048	0.766099	0.832105	0.863636	0.882306	0.485371	
60	0.889153	0.752463	0.825581	0.804035	0.885179	0.502907	
70	0.874697	0.774224	0.807759	0.830601	0.863578	0.53007	
80	0.885287	0.738142	0.828111	0.828571	0.853625	0.665577	
90	0.922487	0.825758	0.921821	0.858696	0.964817	0.953671	
100	0.881647	0.716769	0.820557	0.778711	0.823906	0.65191	
110	0.889621	0.721186	0.810991	0.792	0.836667	0.540299	
120	0.913806	0.727725	0.823336	0.809769	0.841663	0.491822	
130	0.912217	0.758356	0.811535	0.790404	0.852429	0.48632	
140	0.924352	0.738963	0.814409	0.804511	0.860924	0.48285	
150	0.937239	0.766781	0.834736	0.763636	0.874724	0.528965	
160	0.941767	0.784641	0.836854	0.794486	0.883285	0.58905	
170	0.962033	0.792935	0.886505	0.736292	0.905983	0.736871	
180	0.994857	0.887044	0.989278	0.817967	0.9906	0.980655	
190	0.962406	0.818872	0.884482	0.803571	0.900077	0.735544	
200	0.947655	0.794994	0.862146	0.805479	0.88988	0.597015	
210	0.92389	0.781736	0.844325	0.809917	0.894201	0.533987	
220	0.908148	0.781614	0.829384	0.782258	0.891732	0.501272	
230	0.899623	0.756334	0.823002	0.773109	0.889875	0.487477	
240	0.881196	0.745046	0.829002	0.74928	0.885936	0.501081	
250	0.871383	0.754986	0.813092	0.805556	0.85745	0.525677	
260	0.880498	0.720393	0.827493	0.8125	0.853472	0.666776	
270	0.920875	0.827488	0.927524	0.861702	0.96755	0.9603	
280	0.874676	0.722193	0.820175	0.837466	0.829173	0.653185	
290	0.888426	0.73031	0.816207	0.862534	0.837864	0.543178	
300	0.915189	0.741103	0.820132	0.893401	0.838936	0.494073	
310	0.911614	0.777133	0.806634	0.876607	0.851083	0.473825	
320	0.924078	0.778723	0.814873	0.920716	0.862302	0.482473	
330	0.925746	0.787956	0.833968	0.882507	0.875664	0.524543	
340	0.946738	0.822514	0.8377	0.909548	0.878141	0.582146	
350	0.965451	0.826862	0.884088	0.932796	0.912534	0.732505	
360	1	1	1	1	1	1	
"Scaling"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0.25	0.8125	0.502732	0.507463	0.130233	0.609467	0.658371	
0.35	0.803636	0.542484	0.597143	0.340807	0.62234	0.619048	
0.45	0.843678	0.595238	0.682785	0.528	0.670185	0.623699	
0.55	0.852217	0.642433	0.699558	0.716981	0.741131	0.662784	
0.65	0.876338	0.669805	0.799766	0.797203	0.808793	0.699355	
0.75	0.929	0.756928	0.812375	0.855263	0.828074	0.754286	
0.85	0.84981	0.780091	0.885163	0.89008	0.853011	0.775951	
