"Brightness change"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
-127	59.3023	56.5371	57.8947	4.8	66.5217	37.7579	
-117	64.8045	59.2491	59.9251	7.4	70.7167	43.8279	
-107	69.9634	60.5995	64.507	13.4	73.4586	51.2906	
-97	74.2364	65.007	68.039	20.8	74.9872	56.6705	
-87	79.1359	68.8679	71.8835	31.6	78.858	63.3376	
-77	82.4844	74.7887	76.705	45	81.0273	69.6956	
-67	86.5891	81.5603	81.4116	57.4	84.9347	75.2563	
-57	89.8769	88.1855	84.795	71	86.4561	81.6066	
-47	93.8188	93.7665	90.1227	83.4	90.3424	87.9164	
-37	97.2973	97.4616	96.9816	94	94.9507	94.3968	
-27	99.5028	99.699	99.5726	97	98.2611	98.7193	
-17	100	100	100	97.6	99.8523	99.9307	
-7	100	100	100	96.6	100	100	
3	100	100	99.7873	97.4	100	99.9307	
13	99.6707	99.9454	98.7746	97.2	99.8816	99.5494	
23	99.4499	99.7271	98.1343	97.8	99.3456	98.9402	
33	99.174	99.3153	95.4863	96	98.2095	97.8746	
43	98.3425	98.7849	92.9425	94.8	95.8668	96.6164	
53	98.3165	97.9758	93.0532	93.2	93.5998	94.6533	
63	97.5499	96.7956	92.8365	88.6	91.0081	91.2935	
73	96.2551	95.3185	92.0386	84	88.5403	87.1518	
83	95.5124	93.5395	88.8537	79.4	85.6759	82.6944	
93	93.7935	90.682	85.8674	71.2	81.1301	79.6848	
103	90.8306	87.4577	82.0513	63.6	79.3762	74.9745	
113	89.7842	83.7582	78.9844	56	77.0933	71.0151	
123	86.3743	80.133	73.2984	48.4	72.7441	67.3933	
"Gaussian blur"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
1	96.6727	81.5233	93.761	83.6	55.1085	84.4424	
2	95.1613	76.2821	91.2361	76.2	55.5202	77.9548	
3	93.3333	69.3258	85.445	66	56.6119	68.3718	
4	92.8453	64.7309	83.3621	60	55.3333	60.175	
5	92.1182	62.2309	78.3894	51.6	55.1532	53.3282	
6	91.3183	57.2816	77.4383	50.4587	53.1101	49.6718	
7	89.9484	51.282	74.3885	46.5054	56.5489	46.3453	
8	88.5007	48.4375	69.3709	41.4013	55.0369	43.0233	
9	85.5442	50	64.7287	37.6384	50.9235	41.2675	
"Rotation"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0	100	100	100	100	100	100	
10	81.3382	56.738	64.5376	73.8	67.0264	44.6088	
20	76.4033	55.3056	61.9327	67.4	65.4208	36.8078	
30	75.0427	52.2291	59.3395	63.8	65.8085	33.1231	
40	73.7882	54.6354	58.6533	62.6	65.3008	32.1887	
50	72.6103	51.2507	56.9507	60.8	65.1878	30.2761	
60	70.5402	51.2693	54.7658	55.8	67.0988	29.9049	
70	67.205	56.622	57.5553	60.8	66.744	33.577	
80	69.5624	55.0682	63.4866	58	66.7142	38.6338	
90	79.4571	67.3099	75.035	63.2	90.0253	79.638	
100	70.3146	53.4095	62.3841	55.6	65.0738	36.8442	
110	70.4042	53.0799	59.3179	59.4	64.4298	36.3728	
120	76.6475	50.3599	60.1441	63	65.219	31.3987	
130	77.8402	54.0393	61.7429	62.6	66.1922	31.7245	
140	79.5906	50.9155	62.3875	64.2	65.7417	30.8824	
150	80.0476	53.1306	62.0945	58.8	68.1209	31.7195	
160	78.6913	56.987	62.6499	63.4	66.5515	36.7708	
170	81.9178	55.9118	66.065	56.4	67.5746	45.0879	
180	95.6593	68.2967	92.5066	69.2	91.0879	88.858	
190	79.7094	55.2468	64.3544	63	66.438	44.3666	
200	75.9673	53.2039	61.5426	58.8	65.1803	37.3225	
210	74.3619	50.4626	58.877	58.8	66.5889	33.3844	
220	73.0197	52.3544	58.3333	58.2	65.9005	32.28	
230	73.4442	50.0279	56.6854	55.2	65.4017	30.4459	
240	70.0876	50.2524	54.0733	52	67.0483	29.7964	
250	66.9136	56.5836	57.2121	58	66.4997	33.3627	
260	69.2107	54.056	63.3425	57.2	67.1277	38.6342	
270	80.0878	69.1211	75.2274	64.8	89.7034	80.758	
280	69.3151	54.939	62.0438	60.8	65.5827	36.7869	
290	69.8756	54.0064	59.248	64	64.5956	36.3978	
300	76.0897	51.23	59.521	70.4	65.1087	31.1701	
310	77.6602	56.733	61.8486	68.2	66.1175	31.148	
320	78.9864	53.3528	61.3826	72	65.5232	30.7766	
330	79.2162	54.9379	62.4643	67.6	67.7044	31.6062	
340	79.5302	58.9517	62.351	72.4	66.1514	36.2079	
350	82.7757	59.0048	66.5119	69.4	67.4654	44.7065	
360	100	100	100	100	100	100	
"Scaling"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0.25	81.25	48.4211	50.2463	7.3107	60.4106	63.2609	
0.35	79.2115	48.8714	56.9482	16.309	58.8926	57.9812	
0.45	82.287	52.285	59.6284	26.4	63.3416	56.7371	
0.55	80.7154	53.0637	60.2028	38	67.629	57.33	
0.65	81.798	52.3553	68.7815	45.6	70.8869	58.1324	
0.75	83.5432	61.7522	66.1251	52	69.7845	59.4773	
0.85	65.0182	61.3174	72.4777	66.4	69.3791	60.4774	
0.95	90.3086	66.9577	86.5501	69	67.8247	72.7254	
1.05	84.3418	66.002	81.5104	72.2	58.2012	68.0416	
1.15	57.2404	60.7583	62.9377	62.8	47.4459	49.625	
1.25	49.6365	48.7258	48.9821	61.8	42.3709	41.9315	
1.35	52.9605	51.6919	42.5757	49	38.1111	37.1133	
1.45	48.5018	44.7202	41.1314	50.2	35.2012	32.6307	
1.55	41.6966	38.6219	37.8674	44.2	34.5694	29.1031	
1.65	29.5153	42.0048	33.1892	38.2	33.8986	25.0712	
1.75	28.5179	39.6813	28.2953	38.2	32.2922	22.3661	
1.85	32.7477	36.6029	23.3342	33.2	32.0521	22.1959	
1.95	33.9365	40.2909	19.6573	27	33.1379	22.7232	

