"Brightness change"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
-127	8.2549	8.25568	8.25741	6.65123	8.25535	8.25532	
-117	8.62745	8.62858	8.6295	6.72765	8.62889	8.62903	
-107	9.06114	9.06041	9.06114	6.81756	9.06027	9.06043	
-97	9.57127	9.57051	9.57126	8.58831	9.57051	9.57062	
-87	10.2066	10.2056	10.2065	10.2055	10.2056	10.2055	
-77	11.0256	11.0253	11.026	11.0253	11.0253	11.0253	
-67	12.0572	12.0568	12.0573	12.0568	12.0568	12.0568	
-57	13.3123	13.312	13.3129	13.312	13.312	13.312	
-47	14.8509	14.851	14.8516	14.851	14.851	14.851	
-37	16.8236	16.8236	16.8236	16.8236	16.8236	16.8236	
-27	19.5105	19.5105	19.5105	19.5105	19.5105	19.5105	
-17	23.522	23.522	23.522	23.522	23.522	23.522	
-7	31.2288	31.2288	31.2288	31.2288	31.2288	31.2288	
3	38.5934	38.5934	38.5934	38.5934	38.5934	38.5934	
13	25.863	25.863	25.863	25.863	25.863	25.863	
23	20.9184	20.9184	20.9184	20.9184	20.9184	20.9184	
33	17.8075	17.8075	17.8075	17.8075	17.8075	17.8075	
43	15.5498	15.5498	15.5498	15.5498	15.5498	15.5498	
53	13.7895	13.7895	13.7895	13.7895	13.7895	13.7895	
63	12.3484	12.3484	12.3484	12.3484	12.3484	12.3484	
73	11.1306	11.1306	11.1306	11.1306	11.1306	11.1306	
83	10.0836	10.0831	10.0827	10.0831	10.0831	10.0831	
93	9.16984	9.16898	9.1691	9.16898	9.16898	9.16898	
103	8.35951	8.36021	8.36019	8.36021	8.36021	8.36021	
113	7.64539	7.64475	7.64523	7.64475	7.64475	7.64475	
123	7.01609	7.01374	7.01499	7.01374	7.01374	7.01374	
"Gaussian blur"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
1	33.9257	33.8345	33.9256	33.926	33.9189	33.9241	
2	31.1919	31.0814	31.1936	31.1954	31.1868	31.1923	
3	29.1128	28.9104	29.1101	29.1159	29.0902	29.1101	
4	28.1268	28.0726	28.1326	27.8084	28.1288	28.1334	
5	27.2099	27.1455	27.2103	26.9553	27.2094	27.1954	
6	26.663	26.5165	26.6665	24.9685	26.6543	26.6699	
7	26.0477	25.7702	26.0346	25.3278	26.0311	26.0247	
8	25.5883	25.4707	25.561	25.1551	25.5882	25.5931	
9	25.1952	24.8098	25.1246	23.437	25.1833	25.1926	
"Rotation"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0	361.202	361.202	361.202	361.202	361.202	361.202	
10	15.3523	15.3526	15.3524	15.3319	15.3481	15.3563	
20	13.4589	13.4594	13.4591	13.3967	13.4541	13.4651	
30	12.8816	12.8823	12.8807	12.8489	12.8751	12.8824	
40	12.7453	12.7506	12.7526	12.7258	12.7433	12.7542	
50	12.8729	12.8739	12.8742	12.8445	12.8599	12.8713	
60	13.1142	13.114	13.1143	13.0526	13.0954	13.1154	
70	12.8042	12.8039	12.804	12.7472	12.7841	12.8083	
80	12.3735	12.3724	12.374	12.2987	12.3505	12.378	
90	12.2643	12.2641	12.2643	12.2574	12.2451	12.2643	
100	12.5691	12.5652	12.5692	12.513	12.5351	12.5676	
110	13.2318	13.2261	13.2319	13.0851	13.1793	13.2127	
120	13.1195	13.1159	13.1202	12.985	13.0612	13.1206	
130	12.7113	12.7048	12.7049	12.5771	12.6507	12.7097	
140	12.5588	12.5551	12.5599	12.3597	12.4959	12.5649	
150	12.6576	12.6512	12.6567	12.3845	12.5837	12.6577	
160	13.3759	13.3642	13.3739	13.1604	13.2779	13.3762	
170	15.7592	15.7343	15.7561	15.2231	15.5822	15.7572	
180	31.9621	32.0012	31.9621	23.4891	27.2748	31.9621	
190	15.4071	15.3835	15.4077	15.0461	15.2795	15.4117	
200	13.485	13.4772	13.4846	13.2993	13.4005	13.487	
210	12.8954	12.8888	12.8949	12.7273	12.8224	12.8989	
220	12.7524	12.7521	12.7556	12.4714	12.6866	12.7601	
230	12.877	12.8738	12.8776	12.4425	12.811	12.8755	
240	13.1133	13.1078	13.1148	12.9818	13.0512	13.1133	
250	12.8019	12.7981	12.8019	12.5995	12.7532	12.8055	
260	12.3738	12.3689	12.3744	12.2994	12.3372	12.376	
270	12.2637	12.2633	12.2637	12.2535	12.2327	12.2637	
280	12.5676	12.5656	12.5692	12.3675	12.5424	12.5697	
290	13.2371	13.2333	13.2329	13.0402	13.2115	13.2362	
300	13.1296	13.1269	13.1289	12.9966	13.1168	13.1255	
310	12.7198	12.7231	12.7238	12.6854	12.7154	12.7092	
320	12.572	12.5662	12.5711	12.4346	12.5657	12.577	
330	12.6696	12.665	12.6674	12.6018	12.664	12.6706	
340	13.3998	13.3937	13.3919	13.3844	13.3927	13.3994	
350	15.7818	15.7473	15.7841	15.7682	15.7808	15.7812	
360	361.202	361.202	361.202	361.202	361.202	361.202	
"Scaling"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0.25	24.1743	23.393	22.5466	12.4225	24.8324	25.8903	
0.35	27.9504	27.418	26.8147	11.2523	26.8457	27.8555	
0.45	30.191	29.2495	29.0596	21.5181	29.243	29.3027	
0.55	31.6396	30.9843	31.3697	26.022	31.3257	32.3686	
0.65	33.8363	33.0615	33.7568	30.8541	33.2723	33.9263	
0.75	35.3523	32.797	34.9289	29.4577	35.139	35.664	
0.85	35.5459	36.7084	37.0351	33.8708	37.2429	37.1486	
0.95	37.6015	35.8861	38.687	33.2148	38.7144	38.7317	
1.05	38.6452	39.0828	39.789	38.2116	39.7595	39.7576	
1.15	38.0696	39.1072	40.6502	34.4373	40.3926	40.0803	
1.25	38.8746	35.1345	40.7395	33.8329	40.412	40.9833	
1.35	38.9783	38.8467	41.6336	34.9712	40.8145	41.7781	
1.45	37.5692	37.6438	41.727	31.8689	40.9069	41.678	
1.55	38.7476	32.7119	42.1549	35.4487	41.0547	42.0606	
1.65	35.6588	41.178	42.1271	35.2934	41.0776	42.4407	
1.75	36.7759	39.2934	42.7649	33.7452	41.1411	42.7778	
1.85	35.4469	34.1983	42.7149	33.8339	41.0113	43.2369	
1.95	37.8367	42.6788	43.4014	31.1888	40.9306	44.0097	

