"Brightness change"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
-127	0.0840198	0.174197	0.122677	0.048	0.226064	0.145851	
-117	0.127403	0.236255	0.169942	0.074	0.306147	0.201109	
-107	0.209775	0.302667	0.243229	0.134	0.369681	0.265027	
-97	0.306974	0.38024	0.33351	0.208	0.431442	0.338472	
-87	0.412411	0.456995	0.419543	0.316	0.493794	0.430625	
-77	0.506864	0.553892	0.531599	0.45	0.578014	0.539408	
-67	0.613399	0.657322	0.618694	0.574	0.653073	0.648536	
-57	0.721582	0.765923	0.713755	0.71	0.728132	0.753161	
-47	0.841845	0.872074	0.818906	0.834	0.826537	0.845661	
-37	0.92916	0.951007	0.921402	0.94	0.911348	0.93383	
-27	0.989017	0.991835	0.98991	0.97	0.985225	0.988048	
-17	0.998902	1	1	0.976	0.998818	0.998614	
-7	1	1	1	0.966	1	1	
3	1	1	0.996814	0.974	0.999114	0.999134	
13	0.997254	0.997278	0.984599	0.972	0.997045	0.994977	
23	0.992861	0.994556	0.977695	0.978	0.986998	0.986489	
33	0.989017	0.986935	0.943707	0.96	0.972518	0.973151	
43	0.977485	0.973598	0.909187	0.948	0.952719	0.954616	
53	0.962109	0.948557	0.882103	0.932	0.920508	0.929153	
63	0.940143	0.912629	0.853425	0.886	0.864362	0.890005	
73	0.90335	0.875612	0.810409	0.84	0.817376	0.840118	
83	0.864909	0.831519	0.745088	0.794	0.754728	0.777239	
93	0.813289	0.770822	0.680828	0.712	0.687352	0.709337	
103	0.750686	0.704137	0.61179	0.636	0.601655	0.637797	
113	0.685338	0.626021	0.536909	0.56	0.525118	0.569548	
123	0.605711	0.557703	0.446097	0.484	0.464539	0.498008	
"Gaussian blur"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
1	0.87754	0.451551	0.84599	0.836	0.465426	0.644033	
2	0.777595	0.291508	0.740839	0.762	0.309102	0.52555	
3	0.676551	0.167937	0.601699	0.66	0.193558	0.405162	
4	0.61285	0.124388	0.513542	0.6	0.147163	0.32167	
5	0.513454	0.0865542	0.408391	0.516	0.117021	0.240083	
6	0.467875	0.0642352	0.349973	0.44	0.0984043	0.196605	
7	0.383306	0.0435493	0.274562	0.346	0.0803782	0.151568	
8	0.333882	0.0337507	0.222517	0.26	0.0661939	0.121774	
9	0.276222	0.0269461	0.177377	0.204	0.0570331	0.0970033	
"Rotation"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0	1	1	1	1	1	1	
10	0.858246	0.584251	0.701277	0.738	0.734288	0.465458	
20	0.787198	0.588401	0.666284	0.676707	0.726553	0.33581	
30	0.756462	0.592299	0.64357	0.653689	0.741767	0.295212	
40	0.733492	0.578916	0.629254	0.652083	0.738659	0.274885	
50	0.741088	0.575351	0.624079	0.655172	0.739349	0.264189	
60	0.727332	0.566591	0.633929	0.614537	0.743502	0.288935	
70	0.728129	0.563313	0.653417	0.678571	0.731468	0.33326	
80	0.743196	0.542287	0.67029	0.651685	0.72278	0.472499	
90	0.765912	0.645209	0.790133	0.699115	0.88279	0.8369	
100	0.709945	0.510375	0.6891	0.609649	0.706453	0.428941	
110	0.693196	0.505362	0.658553	0.612371	0.713647	0.322064	
120	0.760635	0.539209	0.677027	0.648148	0.736412	0.281087	
130	0.76833	0.543014	0.666444	0.640082	0.743108	0.270932	
140	0.772892	0.543506	0.685112	0.655102	0.739214	0.267488	
150	0.792453	0.540655	0.707523	0.598778	0.734717	0.294854	
160	0.800797	0.541787	0.702752	0.643002	0.737043	0.356436	
170	0.822785	0.538462	0.708126	0.564	0.743385	0.483836	
180	0.956068	0.669026	0.930961	0.692	0.903073	0.886887	
190	0.847215	0.563877	0.705719	0.63	0.723086	0.465638	
200	0.782706	0.563345	0.664561	0.590361	0.727186	0.341753	
210	0.753016	0.56114	0.646506	0.602459	0.74405	0.295406	
220	0.729328	0.562743	0.626866	0.60625	0.744576	0.275085	
230	0.745466	0.558814	0.619779	0.594828	0.74002	0.266231	
240	0.725389	0.54563	0.63074	0.572687	0.741108	0.290188	
250	0.729475	0.544148	0.658298	0.647321	0.723474	0.33304	
260	0.740405	0.532123	0.667391	0.642697	0.730888	0.471339	
270	0.773692	0.645949	0.791605	0.716814	0.87371	0.851165	
280	0.698895	0.508191	0.68398	0.666667	0.714466	0.428706	
290	0.684852	0.512735	0.660581	0.659794	0.713647	0.323176	
300	0.753651	0.558311	0.671622	0.72428	0.734369	0.28087	
310	0.768946	0.562743	0.66511	0.697342	0.737515	0.266209	
320	0.76988	0.576923	0.678524	0.734694	0.735747	0.267279	
330	0.786557	0.563714	0.710117	0.688391	0.733235	0.295459	
340	0.809334	0.576945	0.703976	0.73428	0.729391	0.350152	
350	0.83049	0.575407	0.712548	0.694	0.744979	0.486889	
360	1	1	1	1	1	1	
"Scaling"
Argument	"AKAZE"	"BRISK"	"KAZE"	"ORB"	"SIFT"	"SURF"	
0.25	0.0499725	0.0751225	0.0541689	0.056	0.0608747	0.0504071	
0.35	0.121362	0.135547	0.110993	0.152	0.103723	0.0855708	
0.45	0.201538	0.183723	0.187467	0.264	0.150118	0.134939	
0.55	0.285008	0.23571	0.252257	0.38	0.228428	0.197125	
0.65	0.404723	0.290419	0.362719	0.456	0.342494	0.263121	
0.75	0.510159	0.356832	0.432289	0.52	0.449764	0.342976	
0.85	0.490939	0.418073	0.560807	0.664	0.531619	0.416941	
0.95	0.803405	0.542733	0.762082	0.69	0.617317	0.603672	
1.05	0.872597	0.531573	0.831121	0.722	0.629137	0.657197	
1.15	0.69028	0.523408	0.734997	0.628	0.609338	0.550147	
1.25	0.674904	0.47877	0.638874	0.618	0.632683	0.532479	
1.35	0.795717	0.482308	0.619756	0.49	0.608156	0.521566	
1.45	0.808896	0.441481	0.656399	0.502	0.599586	0.52018	
1.55	0.763866	0.428688	0.643123	0.442	0.606087	0.502512	
1.65	0.598572	0.431138	0.611259	0.382	0.608452	0.472891	
1.75	0.626579	0.399837	0.559745	0.382	0.586584	0.454876	
1.85	0.76771	0.41644	0.485396	0.332	0.603723	0.486056	
1.95	0.844591	0.407186	0.438662	0.27	0.617908	0.52988	

